Sample in Buffer,Sample in Window,TRIGGER,canteloupe_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],canteloupe_i/system_ila_0/inst/net_slot_0_axis_tvalid,canteloupe_i/system_ila_0/inst/net_slot_0_axis_tready,canteloupe_i/system_ila_0/inst/net_slot_0_axis_tlast,canteloupe_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],canteloupe_i/system_ila_0/inst/net_slot_1_axis_tvalid,canteloupe_i/system_ila_0/inst/net_slot_1_axis_tready,canteloupe_i/system_ila_0/inst/net_slot_1_axis_tlast,canteloupe_i/system_ila_0/inst/net_slot_2_axis_tdata[15:0],canteloupe_i/system_ila_0/inst/net_slot_2_axis_tvalid,canteloupe_i/system_ila_0/inst/net_slot_2_axis_tready,canteloupe_i/system_ila_0/inst/net_slot_2_axis_tlast,canteloupe_i/system_ila_0/inst/net_slot_3_axis_tdata[15:0],canteloupe_i/system_ila_0/inst/net_slot_3_axis_tvalid,canteloupe_i/system_ila_0/inst/net_slot_3_axis_tready,canteloupe_i/system_ila_0/inst/net_slot_3_axis_tlast,canteloupe_i/system_ila_0/inst/net_slot_4_axis_tdata[15:0],canteloupe_i/system_ila_0/inst/net_slot_4_axis_tvalid,canteloupe_i/system_ila_0/inst/net_slot_4_axis_tready,canteloupe_i/system_ila_0/inst/net_slot_4_axis_tlast,Interface_(i1:s0)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],Interface_(i1:s1)_(two_dimension_dct_0_o_axis)[2:0],Interface_(i1:s2)_(quantizer_0_o_axis)[2:0],Interface_(i1:s3)_(zig_zag_0_o_axis)[2:0],Interface_(i1:s4)_(run_length_encoder_0_o_axis)[2:0],T_Channel_(i1:s0)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],T_Channel_(i1:s1)_(two_dimension_dct_0_o_axis)[2:0],T_Channel_(i1:s2)_(quantizer_0_o_axis)[2:0],T_Channel_(i1:s3)_(zig_zag_0_o_axis)[2:0],T_Channel_(i1:s4)_(run_length_encoder_0_o_axis)[2:0]
0,0,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
1,1,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
2,2,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
3,3,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
4,4,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
5,5,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
6,6,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
7,7,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
8,8,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
9,9,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
10,10,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
11,11,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
12,12,0,32640,1,0,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"_","_","_","_","_","_","_","_","_","_"
13,13,0,32640,1,1,0,0,0,1,0,0000,0,1,0,0000,0,1,0,0000,0,1,0,"Active","_","_","_","_","Stream Beat","_","_","_","_"
